ID,Job Code,DeptID,Descr,Degree Level,Hrly Rate,FTE,CREDIT_HRS_TOTAL,Fees,Matric,Weekly Rate,Biweekly Rate,Yearly Rate,Degree Level Coded,Min.Hrly.Rate.Diff.Fixed,Min.Yearly.Rate.Adjusted,Min.Hrly.Yearly.Rate.Diff,Zero.If.Below.Min.Yearly.Rate,Prop.Diff.To.Min.Yearly.Rate,Zero.If.LE.1.Percent.Prop
90575,9184,0-6405-000,Community & Family Health,Doctor of Philosophy,17,0.25,9,,,170,340,6630,Doctoral,14.3,5577.5,1052.5,1,18.90%,1
102715,9183,0-6405-000,Community & Family Health,Doctor of Philosophy,17,0.25,14,,,170,340,6630,Doctoral,14.3,5577.5,1052.5,1,18.90%,1
92963,9182,0-6144-000,Molecular Medicine,Doctor of Philosophy,17.011494,0.25,12,1055.2,9507.84,170.11,340.23,6634.48,Doctoral,14.3,5577.5,1056.98,1,19.00%,1
64592,9184,0-6408-000,Department of Global Health,Doctor of Public Health,17.6,0.25,9,,,176,352,6864,Doctoral,14.3,5577.5,1286.5,1,23.10%,1
71812,9184,0-6401-000,College Of Public Health-Dean,Doctor of Philosophy,17.6,0.25,9,609.67,3310.2,176,352,6864,Doctoral,14.3,5577.5,1286.5,1,23.10%,1
111371,9183,0-1223-000,English,Doctor of Philosophy,17.774359,0.25,10,,,177.74,355.49,6932,Doctoral,14.3,5577.5,1354.5,1,24.30%,1
111782,9182,0-1406-000,Marketing,Doctor of Philosophy,17.881226,0.25,9,,,178.81,357.62,6973.68,Doctoral,14.3,5577.5,1396.18,1,25.00%,1
112336,9182,0-1404-000,Finance,Doctor of Philosophy,17.881226,0.25,9,,,178.81,357.62,6973.68,Doctoral,14.3,5577.5,1396.18,1,25.00%,1
22539,9183,0-6405-000,Community & Family Health,Doctor of Philosophy,18,0.25,9,,,180,360,7020,Doctoral,14.3,5577.5,1442.5,1,25.90%,1
79461,9184,0-6405-000,Community & Family Health,Doctor of Philosophy,18,0.25,9,,,180,360,7020,Doctoral,14.3,5577.5,1442.5,1,25.90%,1
93054,9184,0-6401-000,College Of Public Health-Dean,Doctor of Philosophy,18,0.25,9,,,180,360,7020,Doctoral,14.3,5577.5,1442.5,1,25.90%,1
48442,9184,0-6405-000,Community & Family Health,Doctor of Philosophy,18.5,0.25,9,609.67,3310.2,185,370,7215,Doctoral,14.3,5577.5,1637.5,1,29.40%,1
88762,9183,0-6405-000,Community & Family Health,Doctor of Public Health,18.5,0.25,9,1219.34,6620.4,185,370,7215,Doctoral,14.3,5577.5,1637.5,1,29.40%,1
92567,9181,0-6416-000,Fla Prevention Research Center,Doctor of Philosophy,18.5,0.25,9,1675.3,20450.14,185,370,7215,Doctoral,14.3,5577.5,1637.5,1,29.40%,1
92747,9183,0-6405-000,Community & Family Health,Doctor of Philosophy,18.5,0.25,9,609.67,3310.2,185,370,7215,Doctoral,14.3,5577.5,1637.5,1,29.40%,1
78081,9183,0-1217-000,Communication,Doctor of Philosophy,18.53,0.25,9,618.67,3301.2,185.3,370.6,7226.7,Doctoral,14.3,5577.5,1649.2,1,29.60%,1
77866,9183,0-1223-000,English,Doctor of Philosophy,18.760204,0.25,2,266.26,733.6,187.6,375.2,7316.48,Doctoral,14.3,5577.5,1738.98,1,31.20%,1
112581,9183,0-1230-000,School of Geosciences,Doctor of Philosophy,18.846276,0.25,9,,,188.46,376.93,7350.05,Doctoral,14.3,5577.5,1772.55,1,31.80%,1
108144,9184,0-1230-000,School of Geosciences,Doctor of Philosophy,18.846939,0.25,9,,,188.47,376.94,7350.31,Doctoral,14.3,5577.5,1772.81,1,31.80%,1
84688,9183,0-1223-000,English,Doctor of Philosophy,18.85641,0.25,9,618.67,3301.2,188.56,377.13,7354,Doctoral,14.3,5577.5,1776.5,1,31.90%,1
90298,9183,0-1223-000,English,Doctor of Philosophy,18.85641,0.25,9,1598.33,7121.88,188.56,377.13,7354,Doctoral,14.3,5577.5,1776.5,1,31.90%,1
93184,9182,0-2106-000,Electrical Engr,Doctor of Philosophy,19,0.25,9,633.34,3301.2,190,380,7410,Doctoral,14.3,5577.5,1832.5,1,32.90%,1
108318,9182,0-6201-000,College Of Nursing-Dean,Doctor of Philosophy,19,0.25,9,,,190,380,7410,Doctoral,14.3,5577.5,1832.5,1,32.90%,1
44452,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,618.67,3301.2,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
63904,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,,,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
78324,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,809.65,7121.88,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
78334,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,809.65,7121.88,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
85021,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,809.65,7121.88,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
92305,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,839.65,7121.88,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
99244,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.132653,0.25,9,1619.3,14243.76,191.33,382.65,7461.73,Doctoral,14.3,5577.5,1884.23,1,33.80%,1
100067,9182,0-1716-000,Ldrshp Cnsl Adlt Career&Hi Ed,Doctor of Philosophy,19.157088,0.25,12,812.56,4401.6,191.57,383.14,7471.26,Doctoral,14.3,5577.5,1893.76,1,34.00%,1
111662,9550,0-2105-000,Mechanical Engineering,Doctor of Philosophy,19.23,0.25,9,,,192.3,384.6,7499.7,Doctoral,14.3,5577.5,1922.2,1,34.50%,1
112302,9184,0-2105-000,Mechanical Engineering,Doctor of Philosophy,19.23,0.25,9,,,192.3,384.6,7499.7,Doctoral,14.3,5577.5,1922.2,1,34.50%,1
106868,9550,0-2105-000,Mechanical Engineering,Doctor of Philosophy,19.230769,0.25,9,,,192.31,384.62,7500,Doctoral,14.3,5577.5,1922.5,1,34.50%,1
111861,9550,0-2108-000,Computer Science & Engineering,Doctor of Philosophy,19.230769,0.25,9,,,192.31,384.62,7500,Doctoral,14.3,5577.5,1922.5,1,34.50%,1
111921,9184,0-1205-000,Anthropology,Doctor of Philosophy,19.230769,0.25,9,,,192.31,384.62,7500,Doctoral,14.3,5577.5,1922.5,1,34.50%,1
112314,9183,0-1205-000,Anthropology,Doctor of Philosophy,19.230769,0.25,9,,,192.31,384.62,7500,Doctoral,14.3,5577.5,1922.5,1,34.50%,1
112329,9550,0-2105-000,Mechanical Engineering,Doctor of Philosophy,19.231,0.25,9,,,192.31,384.62,7500.09,Doctoral,14.3,5577.5,1922.59,1,34.50%,1
115112,9550,0-2104-000,Civil & Environmental Eng,Doctor of Philosophy,19.231,0.25,9,,,192.31,384.62,7500.09,Doctoral,14.3,5577.5,1922.59,1,34.50%,1
86655,9182,0-2104-000,Civil & Environmental Eng,Doctor of Philosophy,19.23102,0.25,9,644.34,3301.2,192.31,384.62,7500.1,Doctoral,14.3,5577.5,1922.6,1,34.50%,1
86957,9182,0-2104-000,Civil & Environmental Eng,Doctor of Philosophy,19.23102,0.25,9,618.67,3301.2,192.31,384.62,7500.1,Doctoral,14.3,5577.5,1922.6,1,34.50%,1
91417,9182,0-2104-000,Civil & Environmental Eng,Doctor of Philosophy,19.23102,0.25,11,765.86,4034.8,192.31,384.62,7500.1,Doctoral,14.3,5577.5,1922.6,1,34.50%,1
112527,9184,0-2103-000,Industrial & Mgmt System Eng,Doctor of Philosophy,19.23102,0.25,12,,,192.31,384.62,7500.1,Doctoral,14.3,5577.5,1922.6,1,34.50%,1
112724,9550,0-2108-000,Computer Science & Engineering,Doctor of Philosophy,19.23102,0.25,9,,,192.31,384.62,7500.1,Doctoral,14.3,5577.5,1922.6,1,34.50%,1
112806,9550,0-2108-000,Computer Science & Engineering,Doctor of Philosophy,19.23102,0.25,9,,,192.31,384.62,7500.1,Doctoral,14.3,5577.5,1922.6,1,34.50%,1
76021,9183,0-1223-000,English,Doctor of Philosophy,19.362245,0.25,9,618.67,3301.2,193.62,387.24,7551.28,Doctoral,14.3,5577.5,1973.78,1,35.40%,1
81839,9184,0-1255-000,Psychology,Doctor of Philosophy,19.387755,0.25,9,809.65,7121.88,193.88,387.76,7561.22,Doctoral,14.3,5577.5,1983.72,1,35.60%,1
92572,9184,0-1255-000,Psychology,Doctor of Philosophy,19.387755,0.25,9,,,193.88,387.76,7561.22,Doctoral,14.3,5577.5,1983.72,1,35.60%,1
92666,9184,0-1255-000,Psychology,Doctor of Philosophy,19.387755,0.25,9,805.65,7125.88,193.88,387.76,7561.22,Doctoral,14.3,5577.5,1983.72,1,35.60%,1
93428,9184,0-1255-000,Psychology,Doctor of Philosophy,19.387755,0.25,9,618.67,3301.2,193.88,387.76,7561.22,Doctoral,14.3,5577.5,1983.72,1,35.60%,1
111607,9182,0-2107-000,Chemical & Biomedical Eng,Doctor of Philosophy,19.424513,0.25,9,,,194.25,388.49,7575.56,Doctoral,14.3,5577.5,1998.06,1,35.80%,1
72445,9184,0-6408-000,Department of Global Health,Doctor of Philosophy,19.6,0.25,9,609.67,3310.2,196,392,7644,Doctoral,14.3,5577.5,2066.5,1,37.10%,1
80918,9184,0-6408-000,Department of Global Health,Doctor of Philosophy,19.6,0.25,9,800.65,7130.88,196,392,7644,Doctoral,14.3,5577.5,2066.5,1,37.10%,1
82232,9184,0-6408-000,Department of Global Health,Doctor of Philosophy,19.6,0.25,9,,,196,392,7644,Doctoral,14.3,5577.5,2066.5,1,37.10%,1
108042,9184,0-6408-000,Department of Global Health,Doctor of Public Health,19.6,0.25,10,,,196,392,7644,Doctoral,14.3,5577.5,2066.5,1,37.10%,1
107455,9184,0-1253-000,Physics,Doctor of Philosophy,19.867755,0.25,9,,,198.68,397.36,7748.42,Doctoral,14.3,5577.5,2170.92,1,38.90%,1
102440,9182,0-6201-000,College Of Nursing-Dean,Doctor of Philosophy,20,0.25,10,,,200,400,7800,Doctoral,14.3,5577.5,2222.5,1,39.80%,1
78332,9183,0-1205-000,Anthropology,Doctor of Philosophy,20.02551,0.25,9,768.67,3301.2,200.26,400.51,7809.95,Doctoral,14.3,5577.5,2232.45,1,40.00%,1
93498,9184,0-2106-000,Electrical Engr,Doctor of Philosophy,20.117704,0.25,9,824.32,7121.88,201.18,402.35,7845.9,Doctoral,14.3,5577.5,2268.4,1,40.70%,1
83305,9183,0-1205-000,Anthropology,Doctor of Philosophy,20.128205,0.25,12,1091.2,9498.84,201.28,402.56,7850,Doctoral,14.3,5577.5,2272.5,1,40.70%,1
